"Slug","Lang","Exists","Size"
"breakeven-inflation","en","True","2687"
"breakeven-inflation","jp","True","3660"
"breakeven-inflation","cn","True","2687"
"breakeven-inflation","es","True","2687"
"breakeven-inflation","hi","True","2687"
"breakeven-inflation","id","True","2687"
"breakeven-inflation","ar","True","2687"
"breakeven-inflation","fr","True","2687"
"breakeven-inflation","de","True","2687"
"real-interest-rate","en","True","3056"
"real-interest-rate","jp","True","4063"
"real-interest-rate","cn","True","3047"
"real-interest-rate","es","True","3649"
"real-interest-rate","hi","True","7476"
"real-interest-rate","id","True","3362"
"real-interest-rate","ar","True","4967"
"real-interest-rate","fr","True","3663"
"real-interest-rate","de","True","3469"
"sovereign-credit-spread","en","True","2642"
"sovereign-credit-spread","jp","True","3661"
"sovereign-credit-spread","cn","True","2534"
"sovereign-credit-spread","es","True","3422"
"sovereign-credit-spread","hi","True","6584"
"sovereign-credit-spread","id","True","2934"
"sovereign-credit-spread","ar","True","4364"
"sovereign-credit-spread","fr","True","3285"
"sovereign-credit-spread","de","True","3091"
"net-liquidity","en","True","2664"
"net-liquidity","jp","True","3414"
"net-liquidity","cn","True","2664"
"net-liquidity","es","True","2664"
"net-liquidity","hi","True","2664"
"net-liquidity","id","True","2664"
"net-liquidity","ar","True","2664"
"net-liquidity","fr","True","2664"
"net-liquidity","de","True","2664"
"yield-curve-10y2y","en","True","3015"
"yield-curve-10y2y","jp","True","4330"
"yield-curve-10y2y","cn","True","2949"
"yield-curve-10y2y","es","True","3596"
"yield-curve-10y2y","hi","True","7163"
"yield-curve-10y2y","id","True","3263"
"yield-curve-10y2y","ar","True","4755"
"yield-curve-10y2y","fr","True","3567"
"yield-curve-10y2y","de","True","3506"
