"Slug","Lang","Exists","Size"
"sp500-index","en","True","2418"
"sp500-index","jp","True","3213"
"sp500-index","cn","True","2454"
"sp500-index","es","True","2929"
"sp500-index","hi","True","5407"
"sp500-index","id","True","2622"
"sp500-index","ar","True","3701"
"sp500-index","fr","True","2992"
"sp500-index","de","True","2823"
"nasdaq-100","en","True","2254"
"nasdaq-100","jp","True","2909"
"nasdaq-100","cn","True","2577"
"nasdaq-100","es","True","2486"
"nasdaq-100","hi","True","4501"
"nasdaq-100","id","True","2347"
"nasdaq-100","ar","True","3262"
"nasdaq-100","fr","True","2592"
"nasdaq-100","de","True","2463"
"russell-2000","en","False","0"
"russell-2000","jp","False","0"
"russell-2000","cn","False","0"
"russell-2000","es","False","0"
"russell-2000","hi","False","0"
"russell-2000","id","False","0"
"russell-2000","ar","False","0"
"russell-2000","fr","False","0"
"russell-2000","de","False","0"
"market-breadth","en","True","2602"
"market-breadth","jp","True","3494"
"market-breadth","cn","True","2516"
"market-breadth","es","True","3129"
"market-breadth","hi","True","6038"
"market-breadth","id","True","2800"
"market-breadth","ar","True","3804"
"market-breadth","fr","True","3075"
"market-breadth","de","True","2945"
"dax-index","en","True","2721"
"dax-index","jp","True","3666"
"dax-index","cn","True","2721"
"dax-index","es","True","2721"
"dax-index","hi","True","2721"
"dax-index","id","True","2721"
"dax-index","ar","True","2721"
"dax-index","fr","True","2721"
"dax-index","de","True","2721"
"cac40-index","en","True","2521"
"cac40-index","jp","True","3149"
"cac40-index","cn","True","2522"
"cac40-index","es","True","2522"
"cac40-index","hi","True","2522"
"cac40-index","id","True","2522"
"cac40-index","ar","True","2522"
"cac40-index","fr","True","2522"
"cac40-index","de","True","2522"
"ftse-100","en","True","2364"
"ftse-100","jp","True","3083"
"ftse-100","cn","True","1319"
"ftse-100","es","True","1319"
"ftse-100","hi","True","1319"
"ftse-100","id","True","1319"
"ftse-100","ar","True","1319"
"ftse-100","fr","True","1319"
"ftse-100","de","True","1319"
"stoxx-600","en","True","2330"
"stoxx-600","jp","True","2983"
"stoxx-600","cn","True","2702"
"stoxx-600","es","True","2702"
"stoxx-600","hi","True","2702"
"stoxx-600","id","True","2702"
"stoxx-600","ar","True","2702"
"stoxx-600","fr","True","2702"
"stoxx-600","de","True","2702"
"nikkei-225","en","True","2061"
"nikkei-225","jp","True","3687"
"nikkei-225","cn","True","2061"
"nikkei-225","es","True","2061"
"nikkei-225","hi","True","2061"
"nikkei-225","id","True","2061"
"nikkei-225","ar","True","2061"
"nikkei-225","fr","True","2061"
"nikkei-225","de","True","2061"
"hang-seng","en","True","2514"
"hang-seng","jp","True","3144"
"hang-seng","cn","True","1377"
"hang-seng","es","True","1377"
"hang-seng","hi","True","1377"
"hang-seng","id","True","1377"
"hang-seng","ar","True","1377"
"hang-seng","fr","True","1377"
"hang-seng","de","True","1377"
"asx-200","en","True","2167"
"asx-200","jp","True","3423"
"asx-200","cn","True","2167"
"asx-200","es","True","2167"
"asx-200","hi","True","2167"
"asx-200","id","True","2167"
"asx-200","ar","True","2167"
"asx-200","fr","True","2167"
"asx-200","de","True","2167"
"nifty-50","en","True","2051"
"nifty-50","jp","True","3625"
"nifty-50","cn","True","2051"
"nifty-50","es","True","2051"
"nifty-50","hi","True","2051"
"nifty-50","id","True","2051"
"nifty-50","ar","True","2051"
"nifty-50","fr","True","2051"
"nifty-50","de","True","2051"
"gold-price","en","True","2348"
"gold-price","jp","True","3263"
"gold-price","cn","True","2272"
"gold-price","es","True","2668"
"gold-price","hi","True","5296"
"gold-price","id","True","2560"
"gold-price","ar","True","3445"
"gold-price","fr","True","2707"
"gold-price","de","True","2585"
"silver-price","en","True","3036"
"silver-price","jp","True","3350"
"silver-price","cn","True","1211"
"silver-price","es","True","1211"
"silver-price","hi","True","1211"
"silver-price","id","True","1211"
"silver-price","ar","True","1211"
"silver-price","fr","True","1211"
"silver-price","de","True","1211"
"wti-oil","en","True","2372"
"wti-oil","jp","True","3209"
"wti-oil","cn","True","2361"
"wti-oil","es","True","2990"
"wti-oil","hi","True","5459"
"wti-oil","id","True","2528"
"wti-oil","ar","True","3822"
"wti-oil","fr","True","2921"
"wti-oil","de","True","2722"
"natural-gas","en","True","3072"
"natural-gas","jp","True","3338"
"natural-gas","cn","True","1180"
"natural-gas","es","True","1180"
"natural-gas","hi","True","1180"
"natural-gas","id","True","1180"
"natural-gas","ar","True","1180"
"natural-gas","fr","True","1180"
"natural-gas","de","True","1180"
"tips-bond","en","True","3265"
"tips-bond","jp","True","3489"
"tips-bond","cn","True","2190"
"tips-bond","es","True","2190"
"tips-bond","hi","True","2190"
"tips-bond","id","True","2190"
"tips-bond","ar","True","2190"
"tips-bond","fr","True","2190"
"tips-bond","de","True","2190"
"us10y-yield","en","True","2593"
"us10y-yield","jp","True","3647"
"us10y-yield","cn","True","2635"
"us10y-yield","es","True","3156"
"us10y-yield","hi","True","6055"
"us10y-yield","id","True","2868"
"us10y-yield","ar","True","3943"
"us10y-yield","fr","True","3175"
"us10y-yield","de","True","2938"
"move-index","en","True","3469"
"move-index","jp","True","3989"
"move-index","cn","True","2471"
"move-index","es","True","3168"
"move-index","hi","True","6125"
"move-index","id","True","2879"
"move-index","ar","True","3999"
"move-index","fr","True","3276"
"move-index","de","True","3000"
"hy-bonds","en","True","3237"
"hy-bonds","jp","True","3909"
"hy-bonds","cn","True","2124"
"hy-bonds","es","True","2124"
"hy-bonds","hi","True","2124"
"hy-bonds","id","True","2124"
"hy-bonds","ar","True","2124"
"hy-bonds","fr","True","2124"
"hy-bonds","de","True","2124"
"vix","en","True","3081"
"vix","jp","True","3932"
"vix","cn","True","3081"
"vix","es","True","3081"
"vix","hi","True","3081"
"vix","id","True","3081"
"vix","ar","True","3081"
"vix","fr","True","3081"
"vix","de","True","3081"
"crypto-sentiment","en","True","2639"
"crypto-sentiment","jp","True","3745"
"crypto-sentiment","cn","True","2639"
"crypto-sentiment","es","True","2639"
"crypto-sentiment","hi","True","2639"
"crypto-sentiment","id","True","2639"
"crypto-sentiment","ar","True","2639"
"crypto-sentiment","fr","True","2639"
"crypto-sentiment","de","True","2639"
"global-reit","en","True","2080"
"global-reit","jp","True","3453"
"global-reit","cn","True","2080"
"global-reit","es","True","2080"
"global-reit","hi","True","2080"
"global-reit","id","True","2080"
"global-reit","ar","True","2080"
"global-reit","fr","True","2080"
"global-reit","de","True","2080"
"us-housing","en","True","2181"
"us-housing","jp","True","3453"
"us-housing","cn","True","2181"
"us-housing","es","True","2181"
"us-housing","hi","True","2181"
"us-housing","id","True","2181"
"us-housing","ar","True","2181"
"us-housing","fr","True","2181"
"us-housing","de","True","2181"
"logistics-reit","en","True","2043"
"logistics-reit","jp","True","3410"
"logistics-reit","cn","True","2043"
"logistics-reit","es","True","2043"
"logistics-reit","hi","True","2043"
"logistics-reit","id","True","2043"
"logistics-reit","ar","True","2043"
"logistics-reit","fr","True","2043"
"logistics-reit","de","True","2043"
"infrastructure","en","True","2135"
"infrastructure","jp","True","3548"
"infrastructure","cn","True","2135"
"infrastructure","es","True","2135"
"infrastructure","hi","True","2135"
"infrastructure","id","True","2135"
"infrastructure","ar","True","2135"
"infrastructure","fr","True","2135"
"infrastructure","de","True","2135"
"semi-inventory-cycle","en","True","2889"
"semi-inventory-cycle","jp","True","3893"
"semi-inventory-cycle","cn","True","2730"
"semi-inventory-cycle","es","True","3441"
"semi-inventory-cycle","hi","True","6680"
"semi-inventory-cycle","id","True","3090"
"semi-inventory-cycle","ar","True","4563"
"semi-inventory-cycle","fr","True","3420"
"semi-inventory-cycle","de","True","3216"
"defense","en","True","2152"
"defense","jp","True","3407"
"defense","cn","True","2152"
"defense","es","True","2152"
"defense","hi","True","2152"
"defense","id","True","2152"
"defense","ar","True","2152"
"defense","fr","True","2152"
"defense","de","True","2152"
"rare-earth","en","True","2510"
"rare-earth","jp","True","3225"
"rare-earth","cn","True","1019"
"rare-earth","es","True","1019"
"rare-earth","hi","True","1019"
"rare-earth","id","True","1019"
"rare-earth","ar","True","1019"
"rare-earth","fr","True","1019"
"rare-earth","de","True","1019"
"cyber","en","True","2143"
"cyber","jp","True","3651"
"cyber","cn","True","2143"
"cyber","es","True","2143"
"cyber","hi","True","2143"
"cyber","id","True","2143"
"cyber","ar","True","2143"
"cyber","fr","True","2143"
"cyber","de","True","2143"
"baltic-index","en","True","2698"
"baltic-index","jp","True","3216"
"baltic-index","cn","True","2698"
"baltic-index","es","True","2698"
"baltic-index","hi","True","2698"
"baltic-index","id","True","2698"
"baltic-index","ar","True","2698"
"baltic-index","fr","True","2698"
"baltic-index","de","True","2698"
"shipping-index","en","True","3240"
"shipping-index","jp","True","3624"
"shipping-index","cn","True","2156"
"shipping-index","es","True","2156"
"shipping-index","hi","True","2156"
"shipping-index","id","True","2156"
"shipping-index","ar","True","2156"
"shipping-index","fr","True","2156"
"shipping-index","de","True","2156"
"agri-index","en","True","2498"
"agri-index","jp","True","3031"
"agri-index","cn","True","1171"
"agri-index","es","True","1171"
"agri-index","hi","True","1171"
"agri-index","id","True","1171"
"agri-index","ar","True","1171"
"agri-index","fr","True","1171"
"agri-index","de","True","1171"
"dxy-index","en","True","2500"
"dxy-index","jp","True","3657"
"dxy-index","cn","True","2500"
"dxy-index","es","True","2500"
"dxy-index","hi","True","2500"
"dxy-index","id","True","2500"
"dxy-index","ar","True","2500"
"dxy-index","fr","True","2500"
"dxy-index","de","True","2500"
"eurusd","en","True","1975"
"eurusd","jp","True","3451"
"eurusd","cn","True","1975"
"eurusd","es","True","1975"
"eurusd","hi","True","1975"
"eurusd","id","True","1975"
"eurusd","ar","True","1975"
"eurusd","fr","True","1975"
"eurusd","de","True","1975"
"usdjpy","en","True","2428"
"usdjpy","jp","True","3599"
"usdjpy","cn","True","2428"
"usdjpy","es","True","2428"
"usdjpy","hi","True","2428"
"usdjpy","id","True","2428"
"usdjpy","ar","True","2428"
"usdjpy","fr","True","2428"
"usdjpy","de","True","2428"
"usdcny","en","True","3413"
"usdcny","jp","True","3859"
"usdcny","cn","True","1150"
"usdcny","es","True","1150"
"usdcny","hi","True","1150"
"usdcny","id","True","1150"
"usdcny","ar","True","1150"
"usdcny","fr","True","1150"
"usdcny","de","True","1150"
"bitcoin","en","True","2100"
"bitcoin","jp","True","3650"
"bitcoin","cn","True","2100"
